"alcohol"	"malic_acid"	"color_intensity"	"cultivar"
"high_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"high_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"high_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"high_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"high_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"high_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"high_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"high_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"high_malic_acid"	"low_color_intensity"	"low_cultivar"
"high_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"low_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"high_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"avg_cultivar"
"low_alcohol"	"high_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"avg_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"low_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"low_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"low_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"high_alcohol"	"low_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
"avg_alcohol"	"high_malic_acid"	"high_color_intensity"	"high_cultivar"
